Upc,Department,qty,cents,incltaxes,inclfees,Name,size,ebt,byweight,Fee Multiplier,cost_qty,cost_cents,variable_price,addstock,setstock,pack_name,pack_qty,pack_upc,unit_upc,unit_count,is_oneclick,oc_color,oc_border_color,oc_text_color,oc_fixedpos,oc_page,oc_key,oc_relpos
080686008101,Mix,1,2399,n,n,On the Rocks Hornitos Margarita,750m',,n,1,1,0,n,,0,,,,,,n,,,,,,,
080686008361,Cocktail,1,1119,n,n,OTR WSKY SOUR SPICED PEAR 40,375ML,,n,1,1,1089,n,,12,,,,,,n,,,,,,,
080686008736,Alcohol,1,0,n,n,Delola Triple Citrus,,n,n,1,1,1899,n,,0,,,,,,n,,,,,,,
080686008781,Alcohol,1,2109,n,n,SAUZA TEQ BLANCO SIGNATURE BLUE 80,750ML,,n,1,1,1625,n,,3,,,,,,n,,,,,,,
080686008804,Alcohol,1,2109,n,n,SAUZA TEQ REP SIGNATURE BLUE 80,750ML,,n,1,1,1625,n,,3,,,,,,n,,,,,,,
080686008828,Liquor,1,1199,n,n,Otr Mojito Mongo Minto,355ML,n,n,1,1,904,n,,0,,,,,,n,,,,,,,
080686008835,Liquor,1,1199,n,n,Otr Mule Cucumber Lemongrass,355ML,n,n,1,1,904,n,,0,,,,,,n,,,,,,,
080686008873,Whiskey,1,4259,n,n,KNOB CREEK BOURBONXRYE 113,750 ml ,,n,1,1,3275,n,,3,,,,,,n,,,,,,,
080686008880,Tequila,1,4452,n,n,Hornitos Cristalino Reserve,750ml,n,n,1,1,3425,n,,3,,,,,,n,,,,,,,
080686008934,Cocktail,1,1119,n,n,OTR LEMON DROP MARTINI 40,375ML,,n,1,1,863,n,,12,,,,,,n,,,,,,,
080686009085,Vodka,1,849,n,n,-196 CKTL VOD STRAWBERRY 11 CAN 4P,355ML,,n,1,1,650,n,,1,,,,,,n,,,,,,,
080686009108,Vodka,1,849,n,n,-196 CKTL VOD LEMON 11 CAN 6/4P,355ML,,n,1,1,650,n,,1,,,,,,n,,,,,,,
080686009115,Vodka,1,849,n,n,-196 CKTL VOD GRAPEFRUIT 11 CAN 4P,355ML,,n,1,1,650,n,,1,,,,,,n,,,,,,,
080686009122,Vodka,1,849,n,n,-196 CKTL VOD PEACH 11 CAN 6/4PK,355ML,,n,1,1,650,n,,1,,,,,,n,,,,,,,
080686009269,Vodka,1,1689,n,n,-196 CKTL VOD A/SL/G/P/CAN 3/6PK,355ML,,n,1,1,1300,n,,1,,,,,,n,,,,,,,
080686009498,Margarita,1,979,n,n,OTR MARG CKTL SPK LIME 20 CAN 4PK,355ML,,n,1,1,750,n,,6,,,,,,n,,,,,,,
080686009511,Tequila,1,2809,n,n,HORNITOS TEQ PINEAPPLE ,750ml,n,n,1,1,2160,n,,3,,,,,,n,,,,,,,
080686009542,Whiskey,1,2399,n,n,OTR asst 6pk\2,,n,n,1,0,0,n,,0,,,,,,n,,,,,,,
080686009559,Whiskey,1,1699,n,n,Jimbeam,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
080686009757,Whiskey,1,1299,n,n,Jim beam ginger 4pK,355mp,n,n,1,0,0,n,,0,,,,,,n,,,,,,,
080686009924,Whiskey,1,3119,n,n,JIM BEAM BBN PINEAPPLE 65 6P,1.75LT,,n,1,1,2400,n,,6,,,,,,n,,,,,,,
080686009955,Alcohol,1,1979,n,n,JIM BEAM BBN PINEAPPLE 65 12P,750 ml ,n,n,1,1,1525,n,,6,,,,,,n,,,,,,,
080686010357,Vodka,1,1689,n,n,-196 CKTL VOD ALL/LR/SW/SP/CAN 8P,355ML,,n,1,1,1300,n,,1,,,,,,n,,,,,,,
080686010401,Whiskey,1,0,n,n,Jim Bean Rye,750ml,,n,1,1,1450,n,,0,,,,,,n,,,,,,,
080686010425,Alcohol,1,2019,n,n,JIM BEAM BBN US SOCC LTD ED25 4Y80,750ML,,n,1,1,1550,n,,3,,,,,,n,,,,,,,
080686010562,Alcohol,1,999,n,n,PINNACLE VODKA 80 PET 24 PK LSE,375ML,n,n,1,1,1038,n,,4,,,,,,n,,,,,,,
080686010579,Alcohol,1,579,n,n,PINNACLE VODKA 80,750ML,,n,1,1,446,n,,6,,,,,,n,,,,,,,
